IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,coralcleary.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,emiliafalk.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,uckldadoaierbex.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,joanapatterson.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,esalasaimr-c19.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,naacraleindir.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,uriahmontague.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,wl5n4b9b.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,ilimamecasm.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,amariruth.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,oednlakueupsap.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,debra1027.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,lwvemrlaensi.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,tlavaeonryersvs.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,ylunndoiclrdaa.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,dscgs8xo.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,slrheeibtuebsid.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,einureqbaftjc.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,aybnmmtiluah.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,uerupmmllyd.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,leacshlenmmdgza.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,ylunndoiclrdaa.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
DomainName,slrheeibtuebsid.workers.dev,,Block,,Netskope IOCs,Netskope IOCs,,,,,FALSE
