IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,247ithelp.com,,Block,Informational,Potentially Unsanctioned RMM: ConnectWise,https://lolrmm.io/tools/247ithelp.com__connectwise,,,,,FALSE
DomainName,screenconnect.com,,Block,Informational,Potentially Unsanctioned RMM: ConnectWise,Available as Block in MDA.,,,,,FALSE
DomainName,connectwise.com,,Block,Informational,Potentially Unsanctioned RMM: ConnectWise,Available as Block in MDA.,,,,,FALSE
DomainName,search.namequery.com,,Block,Informational,Potentially Unsanctioned RMM: Absolute,https://lolrmm.io/tools/absolute__computrace_ /  Available as Block in MDA.,,,,,FALSE
DomainName,absolute.com,,Block,Informational,Potentially Unsanctioned RMM: Absolute,https://lolrmm.io/tools/absolute__computrace_ /  Available as Block in MDA.,,,,,FALSE
DomainName,helpify.live,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,intelliadmin.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,cog-genomics.org,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,nssm.cc,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,tmate.io,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,monect.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,nomachine.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,remoteassistance.support.services.microsoft.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: Quick Assist,Unsanctioned,,,,false
DomainName,datto.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,anydesk.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned - Available as Block in MDA.,,,,false
DomainName,kaseya.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,teamviewer.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,remotedesktop.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,level.io,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,solarwinds.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,idrive.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,realvnc.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,mobatek.net,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,putty.org,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,vandyke.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM – SecureCRT,Unsanctioned,,,,false
DomainName,zerotier.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,gotomypc.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,simple-help.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,netsupportsoftware.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,install-anydeslk.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM  - Rhadamanthys Malware,Unsanctioned  - Rhadamanthys Malware,,,,false
DomainName,atera.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,atera.pubnubapi.com,,Block,Informational,Unsanctioned RMM,Unsanctioned RMM: Atera ,Unsanctioned: Atera,,,,FALSE
DomainName,atera-agent-heartbeat.servicebus.windows.net,,Block,Informational,Unsanctioned RMM: Atera,Unsanctioned RMM: Atera,Unsanctioned,,,,FALSE
DomainName,gotohttp.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,splashtop.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,ammyy.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,remotepc.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,remoteutilities.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,glavsoft.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,tightvnc.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,anydesk-r.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM - Fake Anydesk – batloader,Unsanctioned,,,,false
DomainName,anydesk-o.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM - Fake Anydesk – batloader,Unsanctioned,,,,false
DomainName,itheipdesk.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,rustdesk.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,remotedesktop.google.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,anysupport.net,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,pcnow.webex.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,seetrol.co.kr,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,goverlan.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,bravurasoftware.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,n-able.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,tacticalrmm.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,beyondtrust.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,auvik.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
DomainName,screenmeet.com,,Block,Informational,Unsanctioned: RMM,Unsanctioned: RMM,Unsanctioned,,,,false
