IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,fitgirl-repacks.site,,Block,Informational,Unsanctioned: Gaming/Piracy,Unsanctioned: Gaming/Piracy,Unsanctioned,,,,false
DomainName,gazellegames.net,,Block,Informational,Unsanctioned: Gaming/Piracy,Unsanctioned: Gaming/Piracy,Unsanctioned,,,,false
DomainName,r2games.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned: Gaming/Piracy,Unsanctioned,,,,false
DomainName,sharemods.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,kingmods.net,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,iwantplay.games,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,axieinfinity.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,krunker.io,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,games-4-free.co.uk,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,cpchapter2.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,cplegacy.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,cpjourney.net,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,newcp.net,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,crazygames.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,epicgames.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,runescape.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,poki.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,now.gg,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,tribalwars.net,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,blankmediagames.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,g123.jp,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,cygames.co.jp,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,armorgames.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
DomainName,totalbattle.com,,Block,Informational,Unsanctioned: Gaming,Unsanctioned,Unsanctioned,,,,false
